Laws Patrolling (Album Version),Who Is Mike Jones?,Mike Jones (Featuring CJ_ Mello & Lil' Bran),0,173.66158999999999,780,41.993000000000002
¿Dónde va Chichi?,Tibiri Tabara,Sierra Maestra,1997,313.12934000000001,1469,189.64599999999999
Barking Dogs (From Piouhgd),Piouhgd + Widowermaker!,Butthole Surfers,0,450.84688999999997,1618,130.58600000000001
OUTE ENA EFHARISTO,Profities,Despina Vandi,0,303.09832,1002,128.292
Midnight Swim,Cracks,Javier Navarrete,0,128.83546000000001,269,90.932000000000002
In A Subtle Way,Pieces Of Time,Jacob Young,0,456.30649,2072,89.667000000000002
Spin,The Palest Grey,Scarlet's Remains,2007,198.73913999999999,569,115.06100000000001
Burning In The Aftermath,A Match & Some Gasoline,The Suicide Machines,2003,95.686080000000004,284,115.887
Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,0,271.49016,847,139.333
Sabor Guajiro,Lo Mejor con La Orq. Broadway,Roberto Torres,0,226.66404,777,117.271
Human Cannonball,Grown Man,Loudon Wainwright III,1995,190.48444000000001,532,102.428
Glory Be,A Bothered Mind,R.L. Burnside,2004,277.78566999999998,1030,89.983999999999995
Crossfire,Greatest Hits,Stevie Ray Vaughan,1992,248.78975,823,116.721
I Can't Be Satisfied,Bluesman,John Hammond,2002,195.31710000000001,767,123.142
Nashville Parthenon,Etiquette,Casiotone For The Painfully Alone,2006,175.72525999999999,979,141.91900000000001
Cocain Ducks,Ec8or,Ec8or,1995,217.23383000000001,698,95.596000000000004
Human Being,Too Much Too Soon,The New York Dolls,1974,344.05831999999998,1141,154.953
The More I See You,Bossa Nova Stories,Eliane Elias,2009,251.42812000000001,887,86.090999999999994
Certain Things We Do,Love_ Peace & Nappiness,Lost Boyz,1997,269.79219999999998,1086,90.218000000000004
Forming,Germicide,The Germs,1977,206.05341999999999,825,133.14400000000001
Mafuá,Mafuá,Yamandu Costa,0,190.04035999999999,786,205.31700000000001
Driving Home For Christmas,The Road To Hell Part 2,Chris Rea,1986,241.16200000000001,1011,180.149
Spooks In Space,Vanguard Visionaries,Perrey And Kingsley,1966,122.64444,537,102.538
Tous Les Garçons Et Les Filles,Be Yourself Tonight,Eurythmics,1985,207.07220000000001,742,84.164000000000001
Too Much Saturn,Hometown 2001,Francis Dunnery,1995,300.79955000000001,1095,124.175
Movement 4 [from Kiss] (Album Version),Eat / Kiss: Music For The Films By Andy Warhol,John Cale,1997,228.46648999999999,757,137.00399999999999
Stream,The Ultimate Most Relaxing New Age Piano in the Universe,Suzanne Ciani,0,239.59465,694,106.33
Make Me Over,Classic Gold: Best of All,Vickie Winans,0,228.93669,838,107.961
Deform (live),The Berzerker,The Berzerker,2000,165.61587,642,174.28700000000001
Wicker Chair,Holy Roller Novocaine,Kings Of Leon,2003,187.92444,504,116.82299999999999
An ti chans',Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),Edith Lefel,0,276.50567000000001,1240,101.97199999999999
I Will Love Again (JJ's Club Radio),I Will Love Again,Taras,0,200.25424000000001,742,127.97
Stickin In My Eye,White Trash ......,NOFX,1992,144.50892999999999,576,152.62200000000001
Ota kiinni,Murskapunkkia,Murskahumppa,0,285.17831999999999,647,110.78700000000001
Entre Caníbales,Canción Animal,Soda Stereo,1990,246.69995,796,112.90300000000001
Rosemary Recalls,The Man from Snowy River,Bruce Rowland,1985,84.03546,186,115.642
Sudanese Dance,One World One People,Xcultures,2000,273.52771000000001,1287,125.01300000000001
Where The Thunder Roars (Tales Of Wonder Album Version),Tales Of Wonder,White Heart,0,298.84035999999998,894,113.277
Wanna Be A Player,Waterbed Hev,Heavy D / McGruff,1997,161.38404,821,96.978999999999999
Panama (Remastered Album Version),The Best Of Both Worlds,Van Halen,0,209.29261,723,140.995
Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Black Eyed Peas,2004,229.61587,869,105.206
Metal,Things Falling Apart,Nine Inch Nails,2000,426.89260999999999,888,63.017000000000003
She Fell Away (2009 Digital Remaster),Your Funeral... My Trial (2009 Digital Remaster),Nick Cave & The Bad Seeds,0,269.26974999999999,952,144.60300000000001
Next Time,Oasis of Love,Nadine Renee,0,249.41668999999999,885,167.91999999999999
It's My Party,60's Triple set,Lesley Gore,1963,136.48934,477,129.12200000000001
Complicate It,Yeah.  Well_ Anyway....,Smartbomb,2001,233.27302,775,132.02199999999999
Monde De Fou,Un Titre de Toune,Suburbs,2005,187.24526,657,183.91999999999999
Opus a Satana (Part 2),Live Inferno,Emperor,0,72.619950000000003,192,89.867000000000004
This Melody (Live),Vendredi 13 - 1981,Julien Clerc,0,272.63954999999999,903,119.896
I'm Gone This Time,Unconditional Love,Glen Campbell,0,142.75873000000001,624,137.28999999999999
You Feel Good All Over,The Very Best Of,T.G. Sheppard,2002,194.11546000000001,464,82.343000000000004
Indian Love Call,Country Lovers. Vol. 3,Slim Whitman,1990,195.91791000000001,557,91.486999999999995
You Can Still Be Free,Affirmation,Savage Garden,1999,118.33423999999999,324,84.689999999999998
I Never Came,Lullabies To Paralyze,Queens Of The Stone Age,2005,288.41750999999999,1036,115.60599999999999
Dixie,It's War Again,Hank Penny & The Lincoln Penny Orchestra,0,123.21914,448,126.523
Commercial Reign,The Singles,Inspiral Carpets,1990,283.76771000000002,847,113.67700000000001
Hourglass,What You Thought You Heard,Borialis,0,239.3073,865,86.938000000000002
Wake,Daddy Don't Disco,The Dirty Skirts,0,206.75873000000001,661,141.93600000000001
Caricia Y Herida,15 Exitos Vol. 2 Flor Silvestre,Flor Silvestre,0,134.81751,543,106.04900000000001
Le tortillard,Le top du père Nöel,Bézu,0,285.64852999999999,1254,126.88
WKYA (drop),Malpractice,Redman,2001,124.18567,567,85.007999999999996
Teräslintu,20 Suosikkia / Rilluttele yö,Solistiyhtye Suomi,0,134.08608000000001,539,133.69900000000001
Now's The Time To Fall In Love,The Fabulous Eddie Cantor,Eddie Cantor,0,155.61098000000001,521,118.97499999999999
Grim Prospects (Gross Prospects - Bad Trip Remix),Grim Prospects Remixes - Grim Prospects Will Never End,Schizoid,0,275.40852999999998,915,102.408
Mangos,The Incredible Kai Winding Trombones,Kai Winding,1961,223.47710000000001,809,112.006
A Distant Voice,Staying on the Watch,Sonny Simmons,0,443.24525999999997,639,45.527000000000001
Openbare Weg,Openbare Weg,Mira,2006,177.81505999999999,514,85.620999999999995
President Johnson,Tip World Singles 2000,Citizen Kaned,2000,385.33179000000001,1859,108.06100000000001
Lead Me Lord,Praise Him...Live!,The Brooklyn Tabernacle Choir,1995,324.44036,597,216.19499999999999
Spontanous Combustion,Spontanous Combustion,Ellen McIlwaine,0,275.12117999999998,978,132.428
Choro,From All Sides,Vince Guaraldi / Bola Sete,0,294.66077000000001,1271,168.30699999999999
Ma Louise,Maurice Chevalier  The Essential Collection Vol 1,Maurice Chevalier,0,193.20117999999999,617,140.95599999999999
I Want You (Forever),Dave Pearce Best of the Dance Years 1988 - 1992,Carl Cox Vs Yousef,1991,357.82485000000003,2165,130.01599999999999
Hate,The Equinox,Organized Konfusion,1997,198.34729999999999,853,175.76900000000001
I Can't Stop Loving You,Timeless,Martina McBride,2005,261.95546000000002,659,100.194
Thank You Lord,Feel Good All Over: Anthology 1970-1976,Horace Andy,1985,176.27383,749,151.911
How Can You Call That Beautiful (Stewkey Vocal),13th And Pine,Nazz,0,220.89098000000001,600,119.691
Cheatin' In The Next Room,Call Tyrone,Tyrone Davis,0,235.91138000000001,848,161.976
Candy Man,Final Vinyl,Hot Tuna,1971,239.59465,924,172.398
I See The Boys Of Summer,Fifteen Poems By Dylan Thomas,Richard Burton,0,171.49341999999999,604,109.82299999999999
Three Is a Crowd,The Early Tapes 1975-1976,Rory Block,0,266.05669,799,90.100999999999999
On Bended Knee,Legacy,Boyz II Men,1994,329.27301999999997,1023,116.473
My Four Reasons,Louie Bluie Film Soundtrack,Howard Armstrong,0,198.922,856,126.821
Little Girl (LP Version),Donny Hathaway,Donny Hathaway,1971,283.21913999999998,759,111.191
Eternamente Amame,Canciones De Amor De Miguel Gallardo,Miguel Gallardo,0,238.68036000000001,776,125.508
Niev nietch nievitch,Irfan_ le héros,Les Ogres De Barback,1999,254.06648999999999,1249,137.88800000000001
Come Over,What up Detroit,DJ X-Change featuring DJ Joey A,0,184.31954999999999,859,150.012
Blue Taxi,Peterbilt Angel,Morel,0,311.40526,1271,108.367
I Want Love (Tween You & Me) (Album Version),Homemade Ice-Cream,Tony Joe White,0,162.53342000000001,610,173.482
White Feather,White Feather,Wolfmother,2009,212.37505999999999,1039,110.745
Christlike Roche,Can We Go Home Now,The Roches,1995,338.33751000000001,783,130.02699999999999
You Rascal You,In North Carolina,Bob Margolin,0,126.51057,573,110.16800000000001
Sympathy,Wintertime,Thomas Battenstein,0,205.58322000000001,505,97.975999999999999
They Say (Album),Electropop,Jupiter Rising,2007,193.4624,690,119.979
Simon's Folly,DUMB: 4-track cassette recordings (1987),Dharma Bums,0,127.47709999999999,485,156.96799999999999
Crawl Before You Ball (Album Version),The Hit List,Saafir,1999,234.762,1089,188.886
Medicate Myself,Underneath,The Verve Pipe,2001,292.8322,792,133.30600000000001
Biding Her Time,99 Monkeys,Bob Neuwirth,1990,241.10974999999999,603,152.267
More And More  (LP Version),Nothing Else Matters,Marvin Sapp,0,270.68036000000001,1230,166.27500000000001
Cowboy Ways,A Tribute to The American Horse,James Hunter,0,188.73424,641,114.971
Brasas Vivas,Mis Momentos,Nelson Ned,0,211.80036000000001,622,144.65100000000001
Kolomeyke,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,Mish Mash,0,254.32771,1106,152.005
In This Life,In this Life,Cama,2009,210.36363,786,155.07400000000001
Groovin' In The Midnight,Best Of Maxi Priest,Maxi Priest,1991,301.81832000000003,1410,61.970999999999997
Waiting,Signify (Special Edition),Porcupine Tree,1997,416.80934000000002,1441,124.04000000000001
A'chek Ouyounik (2009 Digital Remaster),Bravo Alayki Rare recording,Ragheb Alama,0,413.36117999999999,1858,191.196
Hell,In Your Honor,Foo Fighters,2005,117.002,347,152.12700000000001
Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean,0,217.36444,993,100.023
Juoksuhauta-twist (Elämä juoksuhaudoissa),20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,The Avengers,0,122.72281,385,192.68799999999999
I Got Over It (Album Version),Talk To Your Daughter,Robben Ford,1988,203.98974999999999,726,154.322
One Less Bell To Answer,American Songbook - Bacharach,Brazilian Tropical Orchestra,0,192.44363000000001,453,236.006
Festa,Nha Vitória,Gil Semedo,0,285.36117999999999,1384,150.666
Te Hacen Falta Vitaminas,Gira Me Verás Volver,Soda Stereo,1984,225.12280999999999,702,175.42099999999999
Sense And Trick,Scarcity,Xmilk,0,123.66322,429,104.15300000000001
Fire (Oscar G Space Vocal Mix),Fire,Dolce; Oscar G.,0,525.16525999999999,2561,127.27800000000001
Hanging On (Medium Key Performance Track Without Background Vocals),Hanging On (Premiere Performance Plus Track),Britt Nicole,0,204.06811999999999,723,160.16499999999999
Grim Prospects (Version 2 Remix),Grim Prospects Remixes - Prospects Are Getting Grimmer,Schizoid,0,166.00771,479,86.090999999999994
Christmas In Jamaica,Snowflakes,Toni Braxton Featuring Shaggy,2001,219.01016000000001,854,149.94
Gossippo Perpetuo,The Out Sound From Way In!,Perrey And Kingsley,2001,127.9473,819,135.78
2190 Dias Contigo,El Fuego De Dentro,Sven Tasnadi,0,570.90566999999999,2756,122.967
No Control,No Control,Eddie,0,230.00771,766,142.024
The Vitalized Shell,Pentagrammaton,Enthroned,2010,240.74404000000001,581,135.535
Mozart,Pianissimo,Suzanne Ciani,1989,192.20853,562,139.18899999999999
Ciao Milan,Milan Milan,Milan Band,0,152.03219999999999,506,128.59800000000001
Lend Me Your Chopper,Auralux Reggae Showcase,Johnny Osbourne,2004,215.30077,928,163.44499999999999
Letter To Heaven,Heaven,Dolly Parton,1971,155.21914000000001,393,114.027
Heaven is Where The Heart Is,Up Above My Head,Rance Allen Group,0,207.12443999999999,621,111.316
Inside Job,Pearl Jam,Pearl Jam,2006,428.56443999999999,1097,105.994
Take A Look  (LP Version),Take A Look,Natalie Cole,0,185.7824,478,88.489000000000004
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Crack The Skye,Mastodon,2009,654.28853000000004,1565,118.43300000000001
Bulgarian Dream,Behind The Blue,Kiril Valeri,0,306.72933999999998,1151,96.007000000000005
Amalgama,Matumago X Press,Word,0,229.51138,1148,187.80699999999999
Born and Raised In Compton,The Best of DJ Quik - Da Finale,DJ Quik,1991,205.58322000000001,958,181.11500000000001
We're Gonna Go Fishin',RCA Country Legends,Hank Locklin,0,127.05914,535,148.357
Robbers Kill Cop,LOOK (Original Motion Picture Soundtrack),BT,0,44.355460000000001,181,136.16399999999999
Relax,Relax,2-4 Grooves feat. Reki D.,2009,203.83302,882,126.941
Sweet By And By,Joy In Our Hearts - The Gospel Side Of The Jordanaires,The Jordanaires,0,176.50892999999999,357,159.58199999999999
Orgofart,Enjoy!,Descendents,1986,140.66892999999999,460,89.495000000000005
Bitch Is Back,A Nite On The Strip - Live,L.A. Guns,1988,201.09016,553,102.259
Naked Albino,Boo-Tay,Bare Jr.,1998,254.79791,772,107.529
Johnny Loves Me (LP Version),The Best Of Shelley Fabares [Digital Version],Shelley Fabares,0,143.07220000000001,417,99.408000000000001
Dearly Beloved,In London_ In Love,Norrie Paramor,0,163.49995000000001,287,79.730999999999995
The Look Of Love,Of My Times,Gary Hobbs,0,289.64526000000001,1268,188.50200000000001
Cooler Than You,Venus Envy,Diesel Boy,1998,124.15955,497,133.72900000000001
Taryns Deepest Fear,Freddy's Favorites: The Best of A Nightmare On Elm Street,Angelo Badalamenti,0,167.3922,349,139.136
Summer Dying Fast,Bitter Suites to Succubi,Cradle Of Filth,1994,321.35791,835,193.69300000000001
Still,Manila Nights,Jim Chappell,0,263.94076999999999,453,76.692999999999998
Snapshot,Snapshot,Ladybug,0,341.36770999999999,2230,126.95
End Of The Road (Head Hornys Remix),End Of The Road - Single,Bandido,0,333.13914,1492,144.81200000000001
7 Miles,7 Miles,Brixx,0,349.12608,2085,138.00299999999999
The Frail,Things Falling Apart,Nine Inch Nails,1999,168.56771000000001,524,130.28399999999999
Para Milladoiro,Os soños que volven,Susana Seivane,2010,350.71955000000003,919,152.01300000000001
Stone Cold Fingers (Bonus Track),Leland Martin,Leland Martin,0,175.62076999999999,606,159.96799999999999
Snowball,For Screening Purposes Only,Test Icicles,2005,190.24933999999999,573,75.031000000000006
(We Don't Need This) Fascist Groove Thang,Endless,Heaven 17,1981,255.16363000000001,1118,150.83699999999999
Drunk Alone,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,React,0,120.26730000000001,469,143.23099999999999
Charisma,Break The Night,Sven Tasnadi,0,557.26975000000004,2890,123.99299999999999
Going Down Slow,Texas Songster,Mance Lipscomb,2000,187.53261000000001,603,97.980999999999995
All Rise,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,Scott Wesley Brown,0,295.60118,663,137.28800000000001
Jogo Limpo,Seu Olhar Não Mente,Flávio José,0,252.02893,1143,168.32300000000001
Silent Hill,Never Be Scared / Don't Be A Hero,Moss,2009,329.35138000000001,852,111.07899999999999
Our Love Is Here To Stay,S'Wonderful Movie'n Bossa,Pery Ribeiro,0,180.00934000000001,650,133.00899999999999
Everything Changes,Time and Space,Soular,0,244.45341999999999,714,146.577
Master Of Disharmony,Death ... Is just the beginning Vol.4,Dimmu Borgir,1996,282.53994999999998,451,140.458
(This Is Not A) Love Song (Live),Live In Tokyo,Public Image Ltd,1983,388.28363000000002,1211,132.506
What Are We Here For,Dark Days In Paradise,Gary Moore,1997,345.93914000000001,1345,153.86199999999999
Une petite pause,Une petite pause,Pascal Sangla,2010,243.1473,665,93.238
Wig,The B52's,The B-52's,1986,261.74648999999999,1199,124.086
Perasmena Mesanihta,Moments,Dakis,0,172.25098,597,66.765000000000001
God Save the Queen (Live),Punk International,Sex Pistols,1988,216.60688999999999,690,145.518
Forever,Forever,Chris Brown,0,363.59791000000001,1606,139.99799999999999
Sun Is Shining,Breaks_ Beats & Blondes,Deekline & Wizard,2004,271.77751000000001,1362,90.647999999999996
New Age,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation,Daniela Dessì,0,330.65751,920,140.334
Have Yourself A Merry Little Christmas,Peace At Last - EP,Hem,2005,133.27628000000001,280,89.859999999999999
U Killed It,Alright_ Still (Deluxe),Lily Allen,2006,264.69832000000002,896,156.09700000000001
Rain And Snow,Light Flight - The Anthology,Pentangle,0,228.51873000000001,928,179.501
Gerra De De,This DJ,DJ Dips,0,240.35220000000001,1315,86.688999999999993
Kako mi je pitas sad,Zlatni hitovi '90 1,Ana Bekuta,0,145.57995,677,160.261
Voices On The Corner,Miles To Miles,Jason Miles,0,235.80689000000001,1081,101.03
(Bloody Paw On The) Kill Floor,RoadKillOvercoat,Busdriver,2007,192.1824,916,155.03800000000001
I Wish My Mother Was Here,Addressing The Nation With The Blues,Byther Smith,1989,418.87302,1578,117.16800000000001
Inolvidable,Lagrimas Negras,Bebo & Cigala,2003,198.26893000000001,674,132.96700000000001
Miracle,Surprise,Bizarre Inc,1996,420.10077000000001,1499,139.91
Witch Weed (Live),Apogee,Bongzilla,1999,397.26974999999999,890,95.882000000000005
Not Buried Deep Enough,Bone To Pick,The Gone Jackals,1995,229.79873000000001,707,135.17500000000001
Give Me 40 Acres (To Turn This Rig Around),Strictly Trucking,The Willis Brothers,0,150.64770999999999,666,121.983
Ernesto Nazareth,Music Of The Brazilian Masters,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,0,286.14485000000002,1001,169.77500000000001
The Cube (Live),To Live Alone,S.U.P,2001,384.70485000000002,1133,137.86199999999999
Get Back Down,PeeBoy EP,Boogie Pimps,0,415.03302000000002,1835,83.325999999999993
Battle Of The Rosebud / Cries,The Way West,Brian Keane,0,133.53751,146,117.667
Beyond the Light,Suburban,Aberdeen,0,266.70974999999999,1022,90.908000000000001
Spaceman,Hitzone 49,The Killers,2008,284.3424,1155,151.953
Pulecenella 'e mò,Il meglio di Gloriana,Gloriana,0,179.06892999999999,751,161.054
Iskorosten' (instr.),Za Solntsem Vsled,Butterfly Temple,0,100.5971,217,159.89500000000001
Big Stax/High Volts (Album Version),Time Will Tell,Grant Geissman,0,320.60036000000002,1299,128.21899999999999
It Goes On,4 Day Tornado,20/20,0,302.36689000000001,1024,101.229
Pecado De Amor,Ao Vivo,José Augusto,0,284.70812000000001,867,98.858999999999995
Illuminate,The Altogether,Orbital,2001,327.86239999999998,1235,125.97499999999999
Never Forget Me,Strength & Loyalty,Bone Thugs-N-Harmony / Akon,2007,286.30158999999998,1134,154.09
Ukkosenjumalan poika,Kivenkantaja,Moonsorrow,2001,356.49261000000001,817,124.23699999999999
A B***** Is A B***** (Edited),Straight Outta Compton,N.W.A.,1989,168.75057000000001,696,97.099000000000004
Kick Out The Jams,Live at the Grand Olympic Auditorium,Rage Against The Machine,2000,201.56036,539,140.63
Me And My Buddy,Take One More Chance With Me,Jazz Gillum,0,185.67791,725,101.41
Amber Changing,Revolutions Per Minute,Rise Against,2003,218.82730000000001,638,186.25399999999999
Murder Academy,Psycho Drama,Ultraviolence,1995,303.04608000000002,1353,210.47
Hey Daddy,Issues,Korn,1999,224.52199999999999,727,94.057000000000002
4 Sea Interludes Op. 33a: Storm,Britten: Orchestral Works,Sir Neville Marriner,0,315.27138000000002,808,100.349
I Need You Now,I Need You Now,Agnes,0,275.06893000000002,1146,124.009
Atmosphere Station,Aliens - The Deluxe Edition,James Horner,1986,191.81668999999999,169,90.084000000000003
Walk Away,Mind Control,Tantric,2009,177.24036000000001,763,106.69799999999999
Shadows That Move,Call of the Mastodon,Mastodon,2001,233.58649,860,89.780000000000001
Smile,One World One People,Xcultures,2000,38.347299999999997,115,107.17700000000001
Mountains Of Mourne,Live From Dublin,The Irish Tenors,0,100.85832000000001,287,152.25800000000001
Kite Live from Sydney,Window In The Skies,U2,2007,485.19790999999998,1332,134.083
Loco (Crazy),Nuestra Tradición,Little Joe,0,239.01994999999999,713,106.398
Ever Be,Untitled,Korn,2007,288.49587000000002,777,160.02199999999999
Oh Look Misery,Bahamian Songs,Blind Blake & The Royal Victoria Hotel Calypsos,0,151.53586999999999,735,101.492
Yesterdays,A Jerome Kern Songbook,Percy Faith,0,160.28689,383,86.141000000000005
Teacher's Pet,Extreme,Extreme,0,181.55056999999999,551,120.09699999999999
Palmer enquête,L'enquête corse - bof,Alexandre Desplat,2004,70.268929999999997,230,128.173
Go To Hell,Tales From The Sick,Prozak,0,173.24363,677,88.834999999999994
Moon River - Original,Jerry Butler Selected Hits Vol. 4,Jerry Butler,0,155.74159,537,105.23999999999999
La Plus Bath Des Javas,L'essentiel 2003,Yvette Horner,0,148.03546,706,162.38499999999999
Infidel,No Regrets,Delta 9,0,94.066490000000002,307,109.636
English Summer Rain,Sleeping With Ghosts,Placebo,2003,241.52771000000001,1018,108.264
Spanish Shuffle (Album Version),Miscelanea,Tam Tam Go!,0,226.82077000000001,916,119.524
Intro,500,Gertrudis,2009,106.52688999999999,353,97.760000000000005
Empress So Divine,Virtuous Woman,Warrior King,2002,224.28689,1006,241.87700000000001
Terapia De Amor Intensiva,De Musica Ligera,Soda Stereo,1988,340.29669000000001,1121,91.328000000000003
Haunting,My Soul Speaks,LORE,0,216.55465000000001,732,130.06200000000001
Lies Of Hate,Candy From A Stranger,Soul Asylum,1998,279.22239999999999,868,68.733999999999995
The First Noel,Music For Christmas Lovers,Carl Doy with NZSO,0,158.56281000000001,335,94.658000000000001
Musical Episode,Exclusively,Horace Andy,2005,234.44853000000001,1151,102.05500000000001
Beautiful Brown eyes,Country Masters Vol 1,Jimmy Wakely,2001,155.95057,391,109.065
Drop the Bass,Ultimate Happy Hardcore 3,The Nightraver & The Magican,0,233.53424000000001,1026,184.98099999999999
The Last Word (Amended Version),Dirty Harriet,Rah Digga (Featuring Outsidaz),2000,256.80934000000002,1102,201.80199999999999
Hard Times,Run DMC,RUN-DMC,1984,234.65751,877,119.67
Just As Much As Ever,Love That Bert Kaempfert,Bert Kaempfert And His Orchestra,0,163.76118,460,105.181
Filipino Baby,Please Help Me I'm Fallin',Hank Locklin,0,159.03301999999999,542,165.66800000000001
The Boss,Pink Chokolate!,Lady May,0,214.04688999999999,1039,188.05600000000001
Escapist,Made In Hong Kong (And In Various Other Places),Nightwish,2007,301.06076999999999,875,143.97
Jeffrey's Dark Side,Blue Velvet,Angelo Badalamenti,1987,109.37424,122,61.883000000000003
Someone to Watch Over Me,Windsor Strings,Frank Chacksfield,0,151.82321999999999,378,0.0
Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Samambaia,Cesar Camargo Mariano/Helio Delmiro,0,287.11138,885,163.167
Pinned To The Ground (album version),Disconnected,Buzzhorn,2002,239.98649,515,144.83600000000001
Always And Never (Album Version),Discovering The Waterfront,Silverstein,2005,229.642,702,108.499
Myth Takes,Myth Takes,!!!,2007,143.98649,584,193.97800000000001
Carpe PM,The Last Living American Marxists,The Secret Life of Teenage Girls,0,153.20770999999999,455,88.935000000000002
Who Shot Ya (Amended Album Version),Greatest Hits,The Notorious B.I.G.,2007,316.65586999999999,1275,91.689999999999998
Poor Tom (Album Version),Coda,Led Zeppelin,1982,182.09914000000001,834,210.80000000000001
Wounded Hearts,The Pink & The Lily,Sandi Thom,2008,205.21751,464,82.204999999999998
Love's Been Good To Me,20 Greatest Hits,Carl Belew,0,131.05587,473,121.563
When Morning Comes To Town,Coastal,The Field Mice,1989,316.73424,1259,162.68199999999999
Estate,Once More,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,0,431.64688999999998,1484,106.21899999999999
Freedom Enough (From Silent Mother Nature),Harry / Silent Mother Nature,Catherine Howe,0,183.37914000000001,705,172.33699999999999
Hai Shava,Hai Shava,Malkit Singh,1993,324.51873000000001,1444,210.30500000000001
Nutty Block,Get Ready To Roll,Rodney O & Joe Cooley,1991,172.01587000000001,783,175.393
Until You Love Someone,Love From&The Rat Pack,Dean Martin,2005,165.66811999999999,428,128.459
Part One From Triomusic,STRATA,Strata,2004,377.67791,995,109.67100000000001
Hello Young Lovers (LP Version),Love Among The Young,James Darren,0,145.00525999999999,401,141.024
Same Man,Ministry of Sound Presents 100,Till West & DJ Delicious,2006,153.28608,734,125.55800000000001
Quiero Ir Ao Mar,Cinema Do Mar,Carlos Nuñez,2005,215.35301999999999,614,211.327
